old_url,new_url,status
https://squarepegpizzeria.com/events-catering,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/catering-0,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/catering-5,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/catering-6,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/catering-booking,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/catering-form-test,https://squarepegpizzeria.com/catering/,301
https://squarepegpizzeria.com/party-requests,https://squarepegpizzeria.com/large-party-reservations/,301
https://squarepegpizzeria.com/private-events,https://squarepegpizzeria.com/large-party-reservations/,301
https://squarepegpizzeria.com/tuesday-charity-night,https://squarepegpizzeria.com/fundraisers/,301
https://squarepegpizzeria.com/tuesday-charity-signup,https://squarepegpizzeria.com/fundraisers/#apply,301
https://squarepegpizzeria.com/monthly-deals,https://squarepegpizzeria.com/deals/,301
https://squarepegpizzeria.com/promotions,https://squarepegpizzeria.com/deals/,301
https://squarepegpizzeria.com/reward-program,https://squarepegpizzeria.com/deals/,301
https://squarepegpizzeria.com/entertainment,https://squarepegpizzeria.com/,301
https://squarepegpizzeria.com/gallery,https://squarepegpizzeria.com/about/,301
https://squarepegpizzeria.com/privacy-policy,https://squarepegpizzeria.com/privacy/,301
https://squarepegpizzeria.com/terms,https://squarepegpizzeria.com/privacy/,301
https://squarepegpizzeria.com/order,https://order.squarepegpizzeria.com/order,301
https://squarepegpizzeria.com/order/*,https://order.squarepegpizzeria.com/order/:splat,301
https://squarepegpizzeria.com/menu,https://order.squarepegpizzeria.com/menu,301
https://squarepegpizzeria.com/menu/*,https://order.squarepegpizzeria.com/menu/:splat,301
https://squarepegpizzeria.com/account/*,https://order.squarepegpizzeria.com/account/:splat,301
https://squarepegpizzeria.com/checkout/*,https://order.squarepegpizzeria.com/checkout/:splat,301
https://squarepegpizzeria.com/cart/*,https://order.squarepegpizzeria.com/cart/:splat,301
https://squarepegpizzeria.com/confirm/*,https://order.squarepegpizzeria.com/confirm/:splat,301
https://squarepegpizzeria.com/gift-card,https://order.squarepegpizzeria.com/gift-cards,301
https://squarepegpizzeria.com/gift-cards,https://order.squarepegpizzeria.com/gift-cards,301
